section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Lolo Pinoy Lechon de Cebu,2.5,(2),,Restaurant,Mactan,Fast-food chain for pizza & pasta,Open until 9:00 pm,Delivery,
Ngohiong Express,3.8,(9),,Restaurant,J Lorente,Tropical beachfront resort & luxury spa,Open until 10:00 pm,Cebu eats: 5 unique dining destinations in Mactan,
Papsy's City Time Square,4.3,(6),,Restaurant,,Chain eatery for Filipino fried chicken,Open until 12:00 am,Delivery,
Kuya J,3.8,(74),₱₱,Restaurant,,Down-to-earth lodging with a rooftop bar,Open until 10:00 pm,Tisa Through a Hungry Stomach,
KKB Seafood and BBQ Grill - Appleton,4.3,(4),,Restaurant,,Chain eatery for Filipino fried chicken,Reopens at 5:00 pm,Takeaway,Closed
Harbour City Dimsum House,3.8,(78),,Restaurant,"NorthDrive Mall, Ouano Avenue",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Kynth Balls,3.0,(1),,Restaurant,,Quick stop for familiar Chinese fare,Open until 11:00 pm,Takeaway,Temporarily closed
Sugbaboy,3.0,(1),,Restaurant,Robinsons Supermarket,Quick stop for familiar Chinese fare,Open until 9:00 pm,Takeaway,Closed
Landers Super Store,3.9,(7),,Restaurant,Cardinal Rosales Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Tsi Boom,3.3,(4),,Restaurant,"J Center Building, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Q Bay Restaurant,3.6,(60),₱₱,Japanese,"Skyrise 4, V. Padriga St",Fast-food fried chicken chain,Open until 2:00 am,Delivery,
Driveway Larangan,3.6,(151),,Restaurant,518 Quijano Compound V. Rama,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Giligan's,3.5,(42),₱₱,Filipino,"Ayala Center Cebu Level 3 Terraces Area, Bohol Ave",Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,Closed
Jollibee,4.0,(224),₱,Takeout Restaurant,Central Nautical Hwy,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery · Takeaway,
Landers Superstore,4.4,"(2,416)",,Supermarket,"23 Minore Park, Cardinal Rosales Ave. cor Pope John Paul II Ave (formerly J, Luna Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Pizza Hut Ayala Cebu,3.0,(52),₱₱,Pizza,"Pizza Hut Ayala Cebu, 3rd Level Ayala Center Cebu",Casual pizza chain with wide selection,Open until 11:00 pm,Delivery,Temporarily closed
Robinsons Supermarket Mactan Cebu,4.2,(285),,Supermarket,"Pueblo Verde MEZ 2, Basak,",Fast-food fried chicken chain,Open until 9:00 pm,Takeaway,
Tokyo Tokyo Philippines,2.6,(15),₱₱,Japanese,"G/F, SM City Cebu, Juan Luna Avenue",Casual pizza chain with wide selection,Open until 9:00 pm,Delivery · Takeaway,
Shopwise Express Newtown Mactan,3.9,(89),,Supermarket,Newtown Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
All Fresh Food Products Incorporated,4.3,(3),,Grocery store,N Bacalso Avenue,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
Gaisano Saver's Mart,3.8,(164),,Shopping mall,"Kagodoy, Basak-Marigondon Rd",Fast-food chain for pizza & pasta,Open until 8:30 pm,Delivery,
