section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Pasalubong Corner,Fast Food,4.0,(1),,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",Fast-food chain with Filipino flavors,Temporarily closed,Open until 9:00 pm,Delivery
Beverly Room Restaurant,Fast Food,4.5,(2),,F. Manalo Street,Fast-food chain with Filipino flavors,Closed,Opens at 6:00 am,Delivery
Paray's Lechon Baboy,Fast Food,4.3,(11),,Kombado,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
Mang Inasal,Fast Food,3.7,(294),₱,2 General Maxilom Ave,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Jollibee,Fast Food,4.2,(6),,,Quick stop for familiar Chinese fare,Temporarily closed,Open until 9:00 pm,Delivery · Takeaway
Cebu's Original Lechon Belly,Fast Food,4.0,(5),,"Savemore, Sitio Looc, M.L. Quezon National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
High Blood Station,Fast Food,3.8,(74),,San Roque St,Fast-food chain with Filipino flavors,Open until 2:00 am,,Delivery
Mang Inasal,Fast Food,3.9,(15),₱,Gaisano Grand Mactan Corner Basak Agus Rd Lapu-lapu City,Quick stop for familiar Chinese fare,Temporarily closed,Open until 8:00 pm,Delivery
East Ocean Seafood Restaurant,Fast Food,4.3,(6),,J.Panis Street,Fast-food chain with Filipino flavors,Temporarily closed,Open until 9:00 pm,Delivery
Orange Brutus,Fast Food,3.5,(8),,"Plaza Margarita, Sandayong",Fast-food chain with Filipino flavors,Open until 8:30 pm,,Delivery
Win-Man Dynasty Restaurant,Fast Food,2.0,(1),,50 P. Almendras St,Fast-food chain with Filipino flavors,Closed,Open until 9:00 pm,Delivery
Yellow Bee 24,Fast Food,5.0,(2),,"42 Wilson St, Apas, Cebu City, 6000 Wilson St",Chain for distinctive style of ice cream,,Open until 9:00 pm,Delivery
Mang Inasal,Fast Food,3.7,(54),₱,"SM City Cebu, Juan Luna Ave Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Leylam Shawarma,Fast Food,3.5,(4),,"2nd Floor Robinsons Cybergate Cebu, Don Gil Garcia Street",Quick stop for familiar Chinese fare,Open until 9:00 pm,,Delivery
Sweet Heaven Industries Corporation.,Fast Food,3.8,(26),,"J.P. Rizal Street Mandaue City, 6014 Cebu, Philippines",Fast-food chain with Filipino flavors,Temporarily closed,Open until 9:00 pm,Delivery
Cebu's Original Lechon Belly,Fast Food,4.0,(1),,"SM Hypermarket Food Area 165 A. S., A. S. Fortuna St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,Delivery · Takeaway
Felix Batchoy,Fast Food,4.8,(4),,V Rama Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,,Delivery
Sr. Pedro,Fast Food,5.0,(1),,345 M. J. Cuenco Ave,Fast-food fried chicken chain,,Open until 7:30 pm,Delivery
Jollibee 138 Mall Colon,Fast Food,5.0,(1),,"138 Mall, 138 Colon St",Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
Cebu's Original Lechon Belly,Fast Food,5.0,(1),,"Super Metro Gaisano M.L., M.L. Quezon National Highway",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Mang Inasal,Fast Food,3.4,(54),₱,"Parkmall, 168 Ouano Avenue",Quick stop for familiar Chinese fare,Open until 8:00 pm,Temporarily closed,Delivery
Jollibee,Fast Food,3.6,(22),₱,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Closed,Delivery
Mang Inasal,Fast Food,3.5,(56),₱,"Osmeña Blvd, corner F. Gonzales St",Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
Chowking,Fast Food,3.5,(29),₱,"Level 1, Starmall Azienda, Lawaan 1, Talisay City",Fast-food chain with Filipino flavors,Open until 8:00 pm,Temporarily closed,Delivery
Okinawa Heat - SM Foodcourt,Fast Food,5.0,(2),,SM City Cebu,Quick stop for familiar Chinese fare,Temporarily closed,Open until 9:00 pm,Delivery · Takeaway
Mang Inasal,Fast Food,3.5,(20),₱,"SM Seaside City, Cebu South Coastal Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Chowking,Fast Food,2.8,(10),,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Open until 10:00 pm,,Delivery
Jollibee,Fast Food,2.9,(11),,,Quick stop for familiar Chinese fare,Temporarily closed,Open until 8:00 pm,Delivery
McDonald's,Fast Food,4.1,(534),₱,Cebu N Rd,Iconic fast-food burger & fries chain,Temporarily closed,Open until 10:00 pm,Delivery · Takeaway
Burger King,Fast Food,2.6,(13),,Mactan Cebu International Airport Terminal 2,Fast-food chain with Filipino flavors,,Open until 8:30 pm,Delivery
Jafar's Shawarma Station,Fast Food,3.1,(16),,Ayala Center Cebu,Fast-food chain with Filipino flavors,Open until 10:00 pm,Closed,Delivery
