section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
Italianni's Restaurant,4.1,(232),₱₱,Italian,"Ayala Mall, Archbishop Reyes Ave",Closed,Opens at 11:00 am,Delivery · Takeaway,Modern cafe for global comfort cooking
Fe Eatery,1.0,(1),,Takeout Restaurant,Sitio Ibaan J. Panis St.,Closed,Opens at 5:00 am,Takeaway,Korean fried chicken specialist
Luis Grande,3.9,(649),,Takeout Restaurant,"Luis Grande Building, Sitio Ibaan, J Panes St",Closed,Opens at 2:00 am,Takeaway,
Ekit Food Haus,4.3,(85),,Takeout Restaurant,Tandang Sora St cor Magsaysay St Villa Aurora,Closed,Opens at 7:00 am,Takeaway,Chain with creative burgers & shakes
El Viento Restaurant and Pool Bar,4.4,(16),,Restaurant,"GF, Marco Polo Plaza Cebu, Cebu Veterans Dr",Closing soon: 10:00 pm,Closed,Takeaway,
Arira Bulgogi Korean Restaurant,3.3,(45),,Restaurant,Foodland Banilad-Talamban Flyover,Closed,Open until 11:00 pm,Delivery,Casual pizza chain with a kids' fun zone
Mizu Japanese Restaurant,4.0,(12),,Japanese,"Waterfront Cebu City Hotel Lahug, Archbishop Reyes Avenue",Opens at 11:00 am,Closed,Takeaway,
First 5 Sports Lounge & Cafe,4.4,(68),,Restaurant,"Go Home Bldg, 341 F. Cabahug St",Closing soon: 10:00 pm,Closed,Takeaway,Casual-chic spot for Filipino plates
Dimsum Break IT Park,3.7,(91),₱₱,Dim Sum,,Open until 4:00 am,Closed,Delivery,Iconic fast-food burger & fries chain
Dimsum Break - Drive Thru,3.0,(1),,Chinese Takeout,,Open until 1:00 am,Closed,Takeaway,Chain eatery for Filipino fried chicken
Antonio's Seafood Grill - Cebu,4.0,(195),,Seafood,"Gaisano Country Mall, Mandaue City, Cebu",Closing soon: 10:00 pm,Closed,Takeaway,Chain eatery for Filipino fried chicken
WR Kitchenette,4.0,(2),,Restaurant,Gov. M. Cuenco Ave,Closed,Opens at 6:00 am,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines","Grilled meats, seafood & Filipino plates"
Sachi - Authentic Japanese Ramen and Okonomiyaki,4.4,(57),,Japanese,,Closed,Opens at 11:00 am,Takeaway,Stylish open-air spot for pub fare
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,Delivery · Takeaway,Fast-food chain with Filipino flavors
ALJ Crispy Chicken Haus,4.2,(5),,Restaurant,,Closed,Opens at 9:00 am,Delivery,Fast-food chain with Filipino flavors
Patrice Eatery,5.0,(1),,Restaurant,J. Panis St,Closed,Opens at 5:00 am,Delivery,Fast-food fried chicken chain
Oceanarium Restaurant,3.5,(2),,Restaurant,"Rainforest Park Cebu, Panagdait, Mabolo, Cebu City, Cebu",Opens at 9:00 am,Closed,Delivery · Takeaway,Refined lodging with a rooftop pool
Diamond Tongs Restaurant,3.9,(367),,Buffet,F. Cabahug St,Closing soon: 10:00 pm,Closed,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Birdseed Restaurant Subangdaku,1.0,(1),,Restaurant,,Opens at 9:00 am,Closed,Takeaway,
Min Yue Restaurant,4.2,(14),,Restaurant,,Closed,Opens at 9:30 am,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Sialo,4.5,(6),,Restaurant,F. Sotto St. Villa Aurora Subdivision Bgy.,Opens at 11:00 am,Closed,Delivery · Takeaway,Modern cafe for global comfort cooking
Mhins Crispy Chicken,1.0,(1),,Takeout Restaurant,Sitio Ibaan J. Panis St,Closed,Opens at 6:00 am,Takeaway,Korean fried chicken specialist
Flame It Burgers And Sausages,4.3,(13),,Takeout Restaurant,Pope John Paul II Ave,Opens at 2:00 am,Closed,Takeaway,
Rusty's Chicken & Shrimp,3.5,(23),,Restaurant,Gaisano Country Mall,Closed,Opens at 11:00 am,Takeaway,Chain with creative burgers & shakes
Royal Krua Thai,3.7,(37),,Thai,"G/F North Arcade, Banilad Town Center, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,Closed,Takeaway,
Yobob,4.0,(59),,Filipino,F. Cabahug St,Closed,Opens at 10:00 am,Delivery,Casual pizza chain with a kids' fun zone
Olio Restaurant Lounge,4.0,(12),,Restaurant,Gov. M. Cuenco Ave,Opens at 11:00 am,Closed,Takeaway,
Have Em All Food Cart Services,4.4,(68),,Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Takeaway,Casual-chic spot for Filipino plates
JB Countrymall,3.0,(1),,Restaurant,,Open until 4:00 am,Closed,Delivery,Iconic fast-food burger & fries chain
K-pork Restaurant,3.8,(5),,Restaurant,A. S. Fortuna St,Open until 1:00 am,Closed,Takeaway,Chain eatery for Filipino fried chicken
East Ocean Seafood Restaurant,4.0,(195),,Fast Food,J.Panis Street,Closing soon: 10:00 pm,Closed,Takeaway,Chain eatery for Filipino fried chicken
Restaurant,4.0,(3),,Restaurant,2 Gov. M. Cuenco Ave,Opens at 6:00 am,Closed,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines","Grilled meats, seafood & Filipino plates"
Salinas Resto,4.4,(57),,Restaurant,"Amon Building, Salinas Dr",Opens at 11:00 am,Closed,Takeaway,Stylish open-air spot for pub fare
New Tung Yan Restaurant,3.7,(291),,Fast Food,"A.S. Fortuna Street, Banilad",Opens at 10:00 am,Closed,Delivery · Takeaway,Fast-food chain with Filipino flavors
Joven's Grill & Seafood,3.8,(189),₱₱,Restaurant,"Parkmall, Tipolo -ALF 1 -27-28, 168 Ouano Avenue",Temporarily closed,Opens at 9:00 am,Delivery,Fast-food chain with Filipino flavors
Castillo’s Restaurant Cebu,3.0,(1),,Restaurant,E Zone F. Cabahug St,Opens at 5:00 am,Closed,Delivery,Fast-food fried chicken chain
Sio Mai Pao,3.5,(2),,Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 9:00 am,Closed,Takeaway,Refined lodging with a rooftop pool
Family Choice,3.2,(17),,Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 11:00 am,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Bokja Restaurant,4.0,(6),,Restaurant,"JCentre Mall, A. S. Fortuna St",Opens at 9:00 am,Closed,Takeaway,
Kublai Khan Mongolian Restaurant,3.8,(32),,Asian,"Third Floor, The Terraces, Ayala Center Cebu",Opens at 9:30 am,Closed,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Cheavers Fried Grill,4.5,(6),,Restaurant,A. S. Fortuna St,Opens at 11:00 am,Closed,Delivery · Takeaway,Modern cafe for global comfort cooking
Akita Restaurant,1.0,(1),,Restaurant,"Countrymall, Banilad Rd",Opens at 6:00 am,Closed,Takeaway,Korean fried chicken specialist
Restaurant,4.4,(8),,Restaurant,,Opens at 2:00 am,Closed,Takeaway,
Commissary Restaurant Division,4.0,(1),,Restaurant,"Pages Holdings Inc., Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Takeaway,Chain with creative burgers & shakes
Master Siomai (Northgate Center),4.0,(1),,Dim Sum,"North Gate Center Don Manuel Gotianuy Complex, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,Closed,Takeaway,
Korean Restaurant Chosun Galbi,4.5,(2),,Restaurant,Salinas Dr,Opens at 10:00 am,Closed,Delivery,Casual pizza chain with a kids' fun zone
Mom's Food,4.5,(2),,Korean,"Gaisano Country Mall, 6000, Gov. M. Cuenco Ave",Closed,Opens at 10:00 am,Takeaway,
Suzukaze japanese restaurant,3.8,(36),,Japanese,"Laniba Building, 6000, 15 N Escario St",Opens at 8:00 am,Closed,Takeaway,Casual-chic spot for Filipino plates
Azimino Japanese Restaurant,4.5,(2),,Japanese,"1 Paseo Saturnino Dona Luisa Road, Banilad",Open until 4:00 am,Closed,Delivery,Iconic fast-food burger & fries chain
Akita Japanese Restaurant,3.8,(5),,Restaurant,Gaisano Country Mall,Open until 1:00 am,Closed,Takeaway,Chain eatery for Filipino fried chicken
Huang Korean Restaurant,4.0,(195),,Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,Closed,Takeaway,Chain eatery for Filipino fried chicken
Kudoku Restaurant + Bar,4.6,(7),,Restaurant,301 Pope John Paul II Ave,Opens at 6:00 am,Closed,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines","Grilled meats, seafood & Filipino plates"
Kyohei Restaurant,4.4,(57),,Restaurant,A. S. Fortuna St,Opens at 11:00 am,Closed,Takeaway,Stylish open-air spot for pub fare
Chirorin Mura Restaurant,3.7,(291),,Japanese,A. S. Fortuna St,Opens at 10:00 am,Closed,Delivery · Takeaway,Fast-food chain with Filipino flavors
Misto,2.8,(5),,Restaurant,"Ground Floor, Seda Hotel",Opens at 9:00 am,Temporarily closed,Delivery,Fast-food chain with Filipino flavors
Bharat Spice,3.4,(47),,Restaurant,3 Jose Maria del Mar St,Temporarily closed,Opens at 5:00 am,Dine-in · Delivery · Takeaway,Fast-food fried chicken chain
Café Shang Tea Restaurant,3.5,(2),,Restaurant,A. S. Fortuna St,Opens at 9:00 am,Closed,Takeaway,Refined lodging with a rooftop pool
Siomai ni papang,5.0,(1),,Restaurant,"greens subdivision, 14,banilad",Opens at 11:00 am,Closed,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Michaelangelos Pizzaria Restaurant,5.0,(1),,Restaurant,Banilad Rd,Opens at 9:00 am,Closed,Takeaway,
Shu Japanese Restaurant,4.5,(4),,Restaurant,Gov. M. Cuenco Ave,Closed today,Opens at 9:30 am,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Restaurant Kamekichi,3.0,(2),,Asian,"Socorro Estenza Building, M.L. Quezon Street, Cabancalan",Opens at 11:00 am,Closed,Delivery · Takeaway,Modern cafe for global comfort cooking
Joven's Grill Restaurant,1.0,(1),,Restaurant,727a A.S.Fortuna,Opens at 6:00 am,Closed,Takeaway,Korean fried chicken specialist
Kuya J Restaurant,3.7,(104),₱₱,Restaurant,Biliran Rd,Opens at 2:00 am,Closed,Takeaway,
Ocean Garden,3.6,(27),,Seafood,A. S. Fortuna St,Opens at 8:00 am,Closed,Takeaway,Chain with creative burgers & shakes
Saigon Quan Parkmall,4.0,(1),,Vietnamese,,Closing soon: 10:00 pm,Closed,Takeaway,
Butchero,4.0,(1),,Meat,,Opens at 10:00 am,Closed,Delivery,Casual pizza chain with a kids' fun zone
Kaiten Ramen + Sushi,3.2,(10),,Authentic Japanese,Streetscape,Closed,Closing soon: 10:00 pm,Takeaway,
Chowking,3.1,(25),₱,Fast Food,"Unit 131, G/F, Gaisano Country Mall, Banilad, Cebu City",Temporarily closed,Opens at 8:00 am,Takeaway,Casual-chic spot for Filipino plates
