section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
Pantawan Guest House - 2 Star,4.2,(34),Hotel,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",26 M. P. Yap St
Oftana Suites,3.7,(33),2-star hotel,Casual hotel with dining & event space,,,,·,Temporarily closed,₱848,P.Remedio St
Connecting Flight Mactan Cebu Hostel,3.9,(44),Hotel,Polished apartment hotel with dining,,,,·,Temporarily closed,"₱3,927","JEB Bldg, 103 M.L. Quezon National Highway"
Cebu Hotel Plus,4.3,(189),3-star hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",0332 Don Mariano Cui St
Pillows Hotel,4.0,(385),3-star hotel,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,161","6000, 208 Gov. M. Roa St"
Rajah Park Hotel's,3.8,(446),3-star hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020","Benigno DU Building, Fuente Osmeña Cir"
Maayo Hotel,4.5,"(1,997)",3-star hotel,Low-key budget lodging with free Wi-Fi,,,,·,Temporarily closed,₱878,168 Plaridel St
Chambre Hotel Mactan,3.8,(305),2-star hotel,Casual lodging with dining & water views,,,,·,Temporarily closed,₱900,UA Ybanez St
Paragon Suites,3.8,(96),3-star hotel,,,,,·,Temporarily closed,"₱1,253",91 Juana Osmeña St
Obaid's condo at Winland Towers,4.1,(33),Hotel,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,660",Jauna Osmeña Extn Winland Towers
